survey_id,building_name,office_spending_space,personal_workspace,in_out_office,window_distance,exterior_view,sky_view,Parking_view,other_buildings_view,trees_view,other_view,exterior_window_direction,building_floor,workspace_rating,thermal_condition,cool_rating,warm_rating,temperature_alter_ability,temperature_satisfaction,clothing_layers_need,outside_brake_need,temperature_fluctuations_day,temperature_fluctuations_season,fan_usage,leave_workspace,temperature_effect_productivity,blinds_control,overhead_lighting_control,task_light_control,temperature_control,air_quality_control,other_control,no_control,hours_spend,work_time,work_type,work_building_tenure,workspace_tenure,age_range,gender
13957189,A,Personal workspace,Open Office_1,Yes,4,No,Yes,No,Yes,No,No,Facing west,10 or above,3,2,5,2,1,2,3,3,4,5,1,3,2,No,No,No,No,No,No,Yes,4,All day,Typing,2,1,5,Male
13954283,A,Personal workspace,Open Office_3,No,1,Yes,Yes,No,Yes,No,No,Facing west,10 or above,3,4,3,3,0,3,3,2,3,3,1,1,3,Yes,No,No,No,No,No,No,4,All day,"Reading, seated",2,1,3,Male
13954827,A,Personal workspace,Open Office_3,Yes,1,Yes,Yes,Yes,Yes,No,No,Facing north (or northeast or northwest),5 to 9,5,2,2,3,,4,1,1,2,2,1,1,3,Yes,No,No,No,No,No,No,3,All day,Typing,2,2,3,Male
13954919,A,Personal workspace,Open Office_1,No,1,Yes,Yes,No,Yes,No,No,Facing north (or northeast or northwest),5 to 9,4,3,2,4,2,,3,1,3,4,1,1,3,Yes,Yes,No,No,No,No,No,4,Mixed (some combination of morning/afternoon/evenings),Typing,2,2,3,Male
13956131,A,Outside,Open Office_3,No,2,Yes,Yes,No,No,No,No,I don’t know,10 or above,4,3,5,3,1,,5,4,4,4,1,3,2,No,No,No,No,No,No,Yes,3,All day,"Reading, seated",2,2,3,Female
13956628,A,Outside,Open Office_2,Yes,3,Yes,Yes,Yes,Yes,No,No,Facing north (or northeast or northwest),10 or above,4,2,5,1,1,2,3,3,2,2,3,4,2,No,No,No,No,No,No,Yes,3,All day,Typing,3,2,5,Female
13957759,A,Personal workspace,Open Office_2,Yes,4,Yes,Yes,Yes,Yes,No,No,I don’t know,10 or above,4,3,3,3,2,,3,3,4,3,3,3,2,No,No,No,No,No,No,Yes,3,All day,"Reading, seated",2,1,4,Female
13953980,A,Personal workspace,Open Office_2,Yes,1,Yes,No,No,Yes,No,No,Facing north (or northeast or northwest),10 or above,2,3,3,3,2,2,4,3,4,3,3,3,3,Yes,No,No,No,No,No,No,4,All day,Typing,1,1,3,Female
13954004,A,Personal workspace,Open Office_2,Yes,1,Yes,Yes,Yes,Yes,No,No,Facing north (or northeast or northwest),10 or above,3,,0,1,1,1,4,1,3,3,1,3,1,No,No,No,No,No,No,Yes,2,Mornings only,"Reading, seated",2,2,4,Female
13954246,A,Large conference room,Open Office_2,Yes,1,Yes,Yes,Yes,Yes,No,No,Facing south (or southeast or southwest),5 to 9,4,3,2,4,2,2,1,4,4,4,1,3,3,No,No,No,No,No,No,Yes,4,All day,Writing,2,1,2,Male
13954255,A,Personal workspace,Open Office_1,Yes,4,Yes,No,No,No,No,Yes,Facing south (or southeast or southwest),1 to 4,4,4,1,1,1,,1,1,2,,1,1,,Yes,No,No,No,No,No,No,2,All day,"Reading, seated",2,2,4,Male
13954975,A,Personal workspace,Open Office_2,Yes,1,Yes,No,No,Yes,No,No,Facing south (or southeast or southwest),10 or above,1,1,1,0,1,,5,5,1,1,1,5,1,Yes,No,No,No,No,No,No,4,All day,"Reading, seated",2,2,,Female
13955259,A,Personal workspace,Open Office_1,Yes,4,Yes,Yes,No,Yes,No,No,Facing south (or southeast or southwest),1 to 4,4,3,1,4,1,2,1,1,3,3,2,2,3,Yes,No,No,No,No,No,No,4,All day,"Reading, seated",2,2,4,Male
13955557,A,Personal workspace,Open Office_2,Yes,4,Yes,No,No,Yes,No,No,I don’t know,10 or above,4,4,3,3,3,4,2,2,2,2,1,2,3,No,No,No,No,No,No,Yes,3,All day,"Reading, seated",2,2,3,Male
13955679,A,Personal workspace,Open Office_2,Yes,3,Yes,Yes,Yes,Yes,No,Yes,Facing south (or southeast or southwest),10 or above,4,2,5,2,2,3,4,2,3,3,1,3,3,Yes,No,No,No,No,No,No,4,All day,Typing,1,1,3,Female
13955853,A,Personal workspace,Enclosed Office_1,Yes,1,Yes,No,Yes,Yes,No,No,Facing south (or southeast or southwest),5 to 9,4,5,1,1,5,5,1,1,2,3,4,1,5,Yes,No,Yes,Yes,No,No,No,4,Mixed (some combination of morning/afternoon/evenings),"Reading, seated",2,2,4,Male
13955989,A,Personal workspace,Open Office_1,Yes,4,No,Yes,No,Yes,No,No,Facing south (or southeast or southwest),1 to 4,4,2,1,5,0,2,1,1,1,1,5,1,3,No,No,No,No,No,No,Yes,4,All day,Typing,2,2,3,Male
13955996,A,Personal workspace,Open Office_1,Yes,4,Yes,Yes,No,Yes,No,No,Facing north (or northeast or northwest),1 to 4,4,4,3,3,0,,2,2,1,5,1,2,3,No,No,No,No,No,No,Yes,4,All day,Typing,1,1,3,Male
13955998,A,Personal workspace,Open Office_3,Yes,4,Yes,No,Yes,Yes,No,No,Facing east,5 to 9,4,1,5,1,1,1,4,4,4,4,1,3,1,Yes,No,No,No,No,No,No,4,All day,Typing,2,2,3,Male
13956165,A,Personal workspace,Open Office_1,Yes,4,No,No,No,Yes,No,No,Facing west,5 to 9,4,4,3,3,3,,2,1,2,2,1,1,4,No,No,No,No,No,No,Yes,4,All day,Typing,1,1,3,Male
13956601,A,Personal workspace,Open Office_2,Yes,4,Yes,Yes,No,No,No,No,Facing north (or northeast or northwest),10 or above,3,1,5,1,3,,5,4,2,1,1,4,2,No,No,No,No,No,No,Yes,3,All day,"Reading, seated",2,2,5,Female
13956649,A,Personal workspace,Open Office_2,No,1,Yes,Yes,Yes,No,Yes,No,Facing east,10 or above,5,5,3,2,3,,2,2,2,3,1,1,4,Yes,No,No,No,No,No,No,3,Mixed (some combination of morning/afternoon/evenings),Typing,3,2,3,Male
13956866,A,Personal workspace,Open Office_1,No,1,Yes,No,No,Yes,No,No,Facing west,10 or above,4,4,2,2,0,4,1,1,2,2,1,1,4,No,No,No,No,No,No,Yes,2,All day,Typing,2,2,4,Female
13957018,A,Small conference room,Open Office_2,Yes,4,Yes,Yes,No,No,No,No,Facing south (or southeast or southwest),10 or above,5,3,5,1,2,3,4,5,3,3,1,3,3,No,No,No,No,No,No,Yes,4,All day,Typing,2,2,4,Female
13957179,A,Personal workspace,Open Office_2,No,4,Yes,Yes,No,No,No,No,Facing east,10 or above,5,3,4,3,0,3,4,2,3,4,1,3,2,No,No,No,No,No,No,Yes,3,All day,Typing,3,2,5,Female
13957582,A,Personal workspace,Open Office_2,No,1,Yes,Yes,Yes,Yes,No,Yes,I don’t know,10 or above,3,1,5,1,1,,5,3,4,5,3,3,1,Yes,No,No,No,No,No,No,3,All day,Typing,3,2,5,Female
13957711,A,Personal workspace,Open Office_1,Yes,4,No,No,No,Yes,No,No,Facing north (or northeast or northwest),5 to 9,3,5,2,4,2,4,2,3,3,2,1,1,4,No,No,No,No,No,No,Yes,4,All day,Typing,2,2,2,Male
13957754,A,Personal workspace,Open Office_2,Yes,1,Yes,Yes,Yes,Yes,No,No,Facing south (or southeast or southwest),10 or above,4,4,5,1,2,3,4,3,3,3,1,3,3,Yes,No,No,No,No,No,No,4,All day,Typing,1,1,3,Female
13957787,A,Personal workspace,Enclosed Office_1,Yes,4,Yes,Yes,Yes,Yes,Yes,No,Facing north (or northeast or northwest),10 or above,5,5,1,2,0,,1,1,2,2,1,1,5,No,Yes,Yes,No,No,No,No,3,All day,"Reading, seated",3,3,4,Male
13957798,A,Personal workspace,Open Office_2,Yes,4,Yes,Yes,No,Yes,No,No,Facing south (or southeast or southwest),10 or above,4,,1,3,1,4,1,3,2,2,4,3,3,No,No,No,No,No,No,Yes,2,Mixed (some combination of morning/afternoon/evenings),"Reading, seated",3,2,5,Male
13953648,A,Outside,Open Office_2,Yes,2,Yes,Yes,Yes,Yes,Yes,No,Facing west,10 or above,5,4,1,,0,3,3,5,2,2,1,3,3,No,No,No,No,No,No,Yes,3,All day,Typing,1,1,3,Male
13954037,A,Personal workspace,Open Office_1,Yes,4,Yes,No,No,Yes,No,No,Facing north (or northeast or northwest),1 to 4,5,4,3,3,1,,3,1,2,3,1,2,3,No,No,No,No,No,No,Yes,4,All day,Typing,2,2,3,Male
13954242,A,Personal workspace,Enclosed Office_1,Yes,4,No,No,No,Yes,No,No,Facing west,5 to 9,4,2,5,1,1,2,5,4,5,5,1,5,2,No,Yes,Yes,No,No,No,No,4,All day,"Reading, seated",2,2,4,Female
13954253,A,Personal workspace,Enclosed Office_1,Yes,1,Yes,No,No,Yes,No,No,Facing south (or southeast or southwest),1 to 4,4,4,3,3,2,4,2,2,3,2,3,1,4,Yes,Yes,Yes,No,No,No,No,4,All day,"Reading, seated",2,2,3,Male
13954276,A,Personal workspace,Open Office_1,Yes,3,Yes,Yes,No,Yes,No,No,I don’t know,5 to 9,5,3,2,0,0,4,1,3,3,3,3,1,3,No,No,No,No,No,No,Yes,4,All day,Typing,2,1,4,Female
13954289,A,Personal workspace,Open Office_1,Yes,4,No,No,No,Yes,No,No,Facing west,1 to 4,4,3,4,2,2,,3,3,2,2,1,1,3,No,No,No,No,No,No,Yes,3,All day,Writing,1,1,2,Male
13954463,A,Personal workspace,Enclosed Office_1,Yes,4,No,No,Yes,No,No,No,Facing south (or southeast or southwest),5 to 9,4,4,2,2,2,,1,1,2,3,1,1,4,No,Yes,Yes,No,No,No,No,4,Mixed (some combination of morning/afternoon/evenings),"Reading, seated",2,2,3,Male
13954475,A,Personal workspace,Open Office_2,Yes,2,Yes,No,No,Yes,No,No,Facing north (or northeast or northwest),10 or above,4,4,3,1,1,4,4,3,3,4,1,3,2,No,No,No,No,No,No,Yes,4,All day,Typing,2,1,3,Female
13954762,A,Personal workspace,Open Office_1,No,4,Yes,Yes,Yes,Yes,Yes,No,I don’t know,5 to 9,5,1,5,5,1,,5,5,5,5,1,4,2,No,No,No,No,No,No,Yes,4,All day,"Filing, standing",2,2,3,Female
13954791,A,Personal workspace,Open Office_1,Yes,4,Yes,Yes,Yes,Yes,Yes,No,Facing south (or southeast or southwest),5 to 9,4,4,3,3,4,,2,1,4,3,1,2,3,No,No,No,No,No,No,Yes,4,All day,"Reading, seated",1,1,2,Male
13954795,A,Personal workspace,Open Office_2,Yes,4,Yes,Yes,Yes,Yes,Yes,No,Facing east,10 or above,5,5,1,1,1,5,1,1,2,3,1,1,5,No,No,No,No,No,No,Yes,3,All day,Typing,3,2,5,Male
13954930,A,Personal workspace,Open Office_1,Yes,4,No,No,No,Yes,No,No,Facing north (or northeast or northwest),1 to 4,2,5,,3,1,,5,5,3,2,1,4,2,No,No,No,No,No,No,Yes,3,All day,Typing,1,1,3,Female
13955201,A,Personal workspace,Open Office_2,Yes,3,Yes,Yes,Yes,Yes,Yes,Yes,Facing north (or northeast or northwest),10 or above,4,4,2,1,1,4,2,3,3,3,1,2,4,No,No,No,No,No,No,Yes,4,All day,Typing,1,1,2,Male
13955342,A,Personal workspace,Enclosed Office_1,Yes,4,No,No,No,Yes,No,No,Facing south (or southeast or southwest),5 to 9,5,5,1,4,5,5,1,1,1,1,1,1,5,No,Yes,Yes,Yes,No,No,No,1,All day,Typing,2,2,5,Male
13955498,A,Personal workspace,Open Office_3,Yes,2,Yes,Yes,No,Yes,No,No,I don’t know,5 to 9,4,4,2,3,0,4,1,1,2,2,1,2,3,No,No,Yes,No,No,No,No,2,All day,Walking about,1,1,3,Male
13955632,A,Personal workspace,Enclosed Office_1,No,4,Yes,Yes,No,No,No,No,Facing west,10 or above,4,4,2,2,3,4,1,1,2,3,1,2,4,No,Yes,No,Yes,No,No,No,2,All day,"Reading, seated",2,2,5,Male
13955646,A,Other,Open Office_1,Yes,4,Yes,Yes,Yes,Yes,No,No,Facing south (or southeast or southwest),5 to 9,2,1,5,3,1,1,5,4,2,2,1,4,2,No,No,No,No,No,No,Yes,4,All day,Writing,2,2,4,Male
13955697,A,Outside,Open Office_2,Yes,3,Yes,Yes,Yes,Yes,Yes,No,Facing south (or southeast or southwest),10 or above,4,2,5,1,1,2,5,4,4,3,1,3,2,No,No,No,No,No,No,Yes,3,All day,"Reading, seated",2,1,3,Female
13955938,A,Personal workspace,Enclosed Office_1,Yes,1,Yes,No,Yes,No,No,No,Facing south (or southeast or southwest),5 to 9,3,3,3,4,3,,2,3,3,3,1,2,3,No,Yes,No,Yes,No,No,No,4,All day,"Reading, seated",2,1,5,Male
13955965,A,Personal workspace,Open Office_1,Yes,4,No,Yes,No,Yes,No,No,Facing west,1 to 4,4,3,5,2,1,3,4,2,4,5,1,2,2,No,No,No,No,No,No,Yes,4,All day,"Reading, seated",2,1,3,Male
13955975,A,Personal workspace,Open Office_1,No,4,No,No,No,Yes,No,No,Facing west,5 to 9,4,4,3,3,2,3,2,2,3,4,1,2,4,No,No,No,No,No,No,Yes,3,All day,"Reading, seated",2,1,3,Male
13955993,A,Personal workspace,Open Office_1,Yes,4,Yes,No,No,Yes,No,No,I don’t know,5 to 9,4,1,5,1,1,1,5,3,3,3,1,4,2,No,No,No,No,No,No,Yes,4,All day,"Reading, seated",3,3,4,Male
13956430,A,Personal workspace,Open Office_2,Yes,3,Yes,Yes,No,No,Yes,Yes,Facing west,10 or above,4,3,3,2,3,,2,1,3,2,1,1,3,No,Yes,Yes,No,No,No,No,4,All day,"Reading, seated",2,2,4,Female
13957013,A,Personal workspace,Open Office_1,Yes,4,Yes,Yes,No,No,No,No,Facing north (or northeast or northwest),5 to 9,3,3,1,1,0,4,1,1,2,2,1,1,4,No,No,No,No,No,No,Yes,4,All day,"Reading, seated",3,3,5,Male
13957141,A,Personal workspace,Open Office_2,Yes,1,Yes,No,No,No,No,Yes,Facing north (or northeast or northwest),10 or above,5,5,1,3,0,4,1,1,3,3,1,1,4,Yes,No,No,No,No,No,No,4,All day,Typing,2,1,3,Male
13957158,A,Personal workspace,Open Office_1,Yes,4,No,Yes,Yes,Yes,No,No,Facing west,5 to 9,5,4,4,1,2,4,3,1,2,2,1,1,4,No,No,No,No,No,No,Yes,4,All day,Walking about,1,1,2,Male
13957170,A,Personal workspace,Open Office_2,Yes,1,Yes,Yes,Yes,Yes,Yes,No,Facing north (or northeast or northwest),10 or above,4,3,1,4,2,,,,,,,,,No,No,No,No,No,No,No,,,,,,,
13957186,A,Personal workspace,Open Office_2,No,1,Yes,Yes,No,Yes,Yes,No,Facing west,10 or above,4,3,3,3,3,4,2,2,2,4,4,2,3,No,No,No,No,No,No,Yes,4,All day,Typing,2,2,4,Female
13957318,A,Personal workspace,Open Office_3,Yes,4,No,No,No,Yes,No,No,Facing north (or northeast or northwest),5 to 9,4,4,2,1,1,4,1,2,1,5,1,2,3,No,No,Yes,No,No,No,No,4,All day,Typing,1,1,2,Male
13957460,A,Personal workspace,Open Office_1,Yes,4,Yes,Yes,Yes,Yes,Yes,Yes,Facing south (or southeast or southwest),5 to 9,3,3,3,3,3,3,2,1,2,3,1,1,3,No,No,No,No,No,No,Yes,4,All day,Typing,2,1,4,Male
13957595,A,Personal workspace,Open Office_1,Yes,4,No,No,Yes,No,No,No,Facing south (or southeast or southwest),5 to 9,4,2,4,2,1,1,4,3,4,5,1,4,3,No,No,No,No,No,No,Yes,3,All day,"Reading, seated",2,2,3,Male
13957666,A,Personal workspace,Other,Yes,1,Yes,Yes,Yes,Yes,Yes,No,Facing south (or southeast or southwest),10 or above,5,3,1,0,5,3,3,1,2,5,,3,1,Yes,No,No,No,No,No,No,4,All day,"Reading, seated",3,2,4,Female
13957683,A,Personal workspace,Open Office_3,Yes,2,Yes,Yes,Yes,Yes,No,No,Facing east,5 to 9,4,1,5,1,4,1,5,5,2,2,1,5,1,No,No,No,No,No,No,Yes,4,All day,"Reading, seated",2,1,4,Female
13957736,A,Personal workspace,Open Office_2,Yes,3,Yes,Yes,No,No,No,No,Facing east,10 or above,3,,4,1,1,3,3,3,4,5,2,3,2,No,No,No,No,No,No,Yes,3,Mixed (some combination of morning/afternoon/evenings),"Reading, seated",3,3,4,Female
13957757,A,Outside,Open Office_2,Yes,4,No,Yes,No,No,No,No,Facing south (or southeast or southwest),10 or above,1,1,5,1,0,,5,5,2,3,1,5,1,No,No,No,No,No,No,Yes,3,All day,"Reading, seated",2,2,,Other
13957772,A,Personal workspace,Open Office_1,Yes,4,No,No,No,Yes,No,No,Facing south (or southeast or southwest),5 to 9,4,3,1,5,1,3,1,2,3,4,3,2,3,No,No,No,No,No,No,Yes,3,All day,Typing,1,1,2,Male
13957784,A,Personal workspace,Open Office_2,Yes,4,Yes,Yes,No,Yes,No,No,I don’t know,10 or above,5,4,3,3,1,,,,,,,,,No,No,Yes,No,No,No,No,3,All day,Typing,2,1,3,Male
13957839,A,Personal workspace,Open Office_1,Yes,4,No,No,No,Yes,No,No,Facing east,5 to 9,4,4,3,3,3,3,1,1,2,2,1,1,3,No,No,No,No,No,No,Yes,4,All day,"Reading, seated",2,2,3,Male
13957851,A,Personal workspace,Open Office_2,Yes,2,Yes,Yes,Yes,Yes,Yes,No,Facing east,10 or above,,4,0,0,3,,3,2,2,1,1,1,4,Yes,No,No,No,No,No,No,3,All day,Typing,3,2,4,Male
13957853,A,Personal workspace,Open Office_1,Yes,4,No,No,No,Yes,No,No,Facing south (or southeast or southwest),1 to 4,4,4,3,3,3,4,1,2,1,1,1,1,4,No,No,No,No,No,No,Yes,3,All day,"Reading, seated",2,2,3,Male
13953635,A,Other,Open Office_1,Yes,4,No,No,No,Yes,No,No,Facing south (or southeast or southwest),5 to 9,5,5,1,1,1,5,1,1,1,3,1,1,3,No,No,No,No,No,No,Yes,2,All day,Walking about,2,2,3,Male
13953939,A,Personal workspace,Open Office_1,Yes,4,Yes,No,No,Yes,No,No,Facing south (or southeast or southwest),5 to 9,2,4,1,5,1,3,1,2,3,5,5,3,3,No,No,Yes,No,No,No,No,3,Mixed (some combination of morning/afternoon/evenings),"Reading, seated",2,1,4,Male
13953985,A,Personal workspace,Open Office_2,Yes,1,Yes,Yes,Yes,Yes,Yes,No,I don’t know,10 or above,4,4,3,2,0,3,4,3,4,3,1,2,3,Yes,No,No,No,No,No,No,4,All day,Typing,2,2,3,Female
13954018,A,Personal workspace,Open Office_3,Yes,2,Yes,Yes,Yes,Yes,No,No,Facing north (or northeast or northwest),10 or above,4,1,1,5,1,1,1,3,5,5,3,4,2,Yes,No,Yes,No,No,No,No,4,Mixed (some combination of morning/afternoon/evenings),Typing,1,1,2,Male
13954024,A,Personal workspace,Open Office_1,Yes,4,Yes,No,No,Yes,No,No,Facing south (or southeast or southwest),5 to 9,,5,1,1,0,5,3,1,3,3,1,1,4,No,No,No,No,No,No,Yes,4,All day,"Reading, seated",2,1,5,Male
13954030,A,Personal workspace,Open Office_3,Yes,4,No,Yes,Yes,Yes,Yes,No,Facing west,5 to 9,2,3,2,4,1,3,2,2,2,2,1,2,4,No,No,No,No,No,No,No,4,All day,Typing,2,2,3,Male
13954032,A,Personal workspace,Open Office_1,Yes,4,Yes,No,No,Yes,No,No,Facing north (or northeast or northwest),5 to 9,4,4,3,2,2,3,3,3,3,3,1,3,3,No,No,No,No,No,No,Yes,4,All day,Typing,1,1,2,Male
13954052,A,Outside,Open Office_1,Yes,4,Yes,Yes,No,Yes,No,No,Facing south (or southeast or southwest),5 to 9,3,2,4,2,2,2,5,5,3,3,1,3,2,No,No,No,No,No,No,Yes,3,All day,"Reading, seated",1,1,3,Female
13954059,A,Personal workspace,Open Office_1,Yes,4,Yes,Yes,No,Yes,No,No,Facing west,5 to 9,2,4,2,1,1,,3,3,3,4,2,3,2,No,No,No,No,No,No,Yes,4,All day,"Reading, seated",2,2,5,Male
13954076,A,Personal workspace,Open Office_1,Yes,4,Yes,No,No,No,No,Yes,Facing north (or northeast or northwest),1 to 4,4,4,2,2,2,3,3,1,2,3,1,2,3,No,No,No,No,No,No,Yes,4,All day,Typing,2,2,3,Male
13954241,A,Personal workspace,Enclosed Office_1,Yes,4,No,Yes,Yes,Yes,Yes,No,Facing south (or southeast or southwest),10 or above,5,2,5,1,1,2,5,5,3,1,1,4,2,No,No,Yes,No,No,No,No,4,All day,"Reading, seated",2,2,5,Female
13954271,A,Outside,Open Office_3,Yes,4,No,No,Yes,No,No,No,I don’t know,5 to 9,5,1,5,1,1,1,5,5,1,1,1,5,1,No,No,No,No,No,No,Yes,4,All day,"Reading, seated",1,1,1,Female
13954272,A,Personal workspace,Open Office_2,Yes,4,Yes,Yes,No,Yes,No,No,Facing east,10 or above,5,5,1,1,0,5,3,1,1,1,1,1,3,No,No,No,No,No,No,Yes,3,All day,Typing,2,2,,Female
13954274,A,Personal workspace,Open Office_1,Yes,4,Yes,No,No,Yes,No,No,I don’t know,5 to 9,4,3,3,4,2,,3,3,3,5,3,3,4,No,No,No,No,No,No,Yes,4,All day,"Reading, seated",2,2,4,Female
13954286,A,Personal workspace,Open Office_2,Yes,1,Yes,No,No,No,No,Yes,Facing north (or northeast or northwest),10 or above,3,,3,,1,3,1,1,3,3,1,1,4,No,No,No,No,No,No,Yes,3,All day,"Reading, seated",2,2,5,Male
13954335,A,Other,Open Office_1,Yes,4,No,Yes,No,Yes,No,No,I don’t know,5 to 9,3,1,5,1,1,1,5,5,1,1,2,4,3,No,No,No,No,No,No,Yes,3,All day,"Reading, seated",2,2,5,Female
13954358,A,Personal workspace,Open Office_1,Yes,4,No,Yes,No,Yes,No,No,Facing south (or southeast or southwest),5 to 9,5,5,1,1,0,4,1,1,2,3,1,1,5,No,No,No,No,No,No,Yes,3,All day,Typing,1,1,2,Male
13954365,A,Personal workspace,Enclosed Office_1,Yes,1,Yes,Yes,Yes,Yes,Yes,No,Facing north (or northeast or northwest),5 to 9,5,4,2,4,1,4,1,1,4,4,1,1,4,Yes,Yes,Yes,No,No,No,No,4,Mixed (some combination of morning/afternoon/evenings),"Reading, seated",2,2,3,Male
13954530,A,Personal workspace,Open Office_1,Yes,4,Yes,Yes,No,Yes,Yes,No,Facing west,5 to 9,4,4,1,3,3,3,1,1,2,2,1,1,3,No,No,No,No,No,No,Yes,4,All day,Typing,2,2,3,Male
13954633,A,Personal workspace,Enclosed Office_1,Yes,3,Yes,No,No,Yes,No,No,Facing south (or southeast or southwest),1 to 4,5,4,4,2,2,,4,3,3,2,1,2,4,No,Yes,Yes,No,No,No,No,3,Mixed (some combination of morning/afternoon/evenings),Typing,2,1,3,Female
13954645,A,Personal workspace,Open Office_2,No,1,Yes,Yes,Yes,Yes,No,No,Facing east,10 or above,5,5,1,1,0,5,2,2,3,3,1,1,3,Yes,No,No,No,No,No,No,3,All day,Typing,1,1,4,Male
13954755,A,Personal workspace,Open Office_2,Yes,3,Yes,Yes,Yes,Yes,Yes,No,Facing south (or southeast or southwest),10 or above,4,4,3,2,0,,4,2,2,3,1,1,4,No,No,No,No,No,No,Yes,3,All day,Typing,2,2,2,Female
13954790,A,Large conference room,Open Office_1,Yes,4,Yes,No,No,Yes,No,No,Facing south (or southeast or southwest),5 to 9,4,4,4,2,3,3,3,3,2,3,1,3,3,No,No,No,No,No,No,Yes,4,All day,Typing,2,2,3,Male
13954808,A,Other,Open Office_1,Yes,4,Yes,No,No,Yes,No,No,Facing west,5 to 9,3,3,5,2,1,,4,3,2,3,1,3,2,Yes,No,No,No,No,No,No,3,All day,Typing,2,2,3,Female
13954824,A,Personal workspace,Enclosed Office_1,Yes,4,Yes,No,No,Yes,No,No,Facing east,5 to 9,4,3,1,4,2,3,1,3,3,3,5,2,3,No,Yes,No,No,No,No,No,4,Mixed (some combination of morning/afternoon/evenings),"Reading, seated",2,2,3,Male
13954928,A,Personal workspace,Open Office_2,Yes,2,Yes,Yes,No,No,Yes,No,Facing east,10 or above,5,4,4,1,2,4,4,4,4,1,1,3,3,Yes,No,No,No,No,No,No,3,All day,Typing,2,1,4,Female
13954938,A,Personal workspace,Open Office_1,Yes,4,No,No,No,Yes,No,No,Facing south (or southeast or southwest),5 to 9,4,3,4,1,1,3,5,3,3,3,1,3,3,No,No,No,No,No,No,Yes,2,All day,"Reading, seated",2,2,5,Female
13954959,A,Personal workspace,Open Office_2,Yes,2,Yes,Yes,Yes,Yes,Yes,No,Facing south (or southeast or southwest),10 or above,5,2,4,1,0,,5,2,3,5,1,3,3,Yes,No,Yes,No,No,No,No,1,All day,Typing,2,2,5,Female
13955064,A,Personal workspace,Open Office_2,Yes,4,Yes,Yes,No,No,No,No,Facing south (or southeast or southwest),10 or above,4,4,3,3,0,4,3,3,3,3,1,3,4,No,Yes,No,No,No,No,No,4,All day,"Reading, seated",2,1,3,Male
