survey_id,building_name,office_spending_space,personal_workspace,in_out_office,work_building_name,window_distance,exterior_view,sky_view,Parking_view,other_buildings_view,trees_view,other_view,other_view_description,exterior_window_direction,building_floor,workspace_rating,thermal_condition,cool_rating,warm_rating,temperature_alter_ability,temperature_satisfaction,clothing_layers_need,outside_brake_need,temperature_fluctuations_day,temperature_fluctuations_season,fan_usage,leave_workspace,temperature_effect_productivity,afternoon_bright,computer_screen_glare,evening_dark,task_light_usage,unnecessary_lighting,lighting_effect_productivity,blinds_control,overhead_lighting_control,task_light_control,temperature_control,air_quality_control,other_control,no_control,hours_spend,work_time,work_type,work_building_tenure,workspace_tenure,age_range,gender
13954004,A,Personal workspace,Open Office: cubicles with low partitions (lower than 5 feet),Yes,A,0 - 5 feet,Yes,Yes,Yes,Yes,,,,Facing north (or northeast or northwest),10 or above,3.0,,0.0,1.0,1.0,1.0,Most of the time,Never,Sometimes,Sometimes,Never,Sometimes,1 = Greatly decreses my productivity,Most of the time,Sometimes,Never,Never,Most of the time,3 = Neutral,,,,,,,Yes,10 - 20 hours,Mornings only,"Reading, seated",1 - 5 years,1 - 5 years,41 - 50,Female
13954246,A,Large conference room,Open Office: cubicles with low partitions (lower than 5 feet),Yes,A,0 - 5 feet,Yes,Yes,Yes,Yes,,,,Facing south (or southeast or southwest),5 to 9,4.0,3.0,2.0,4.0,2.0,2.0,Never,Most of the time,Most of the time,Most of the time,Never,Sometimes,3 = Neutral,Sometimes,Sometimes,Always,Never,Rarely,3 = Neutral,,,,,,,Yes,More than 40 hours,All day,Writing,1 - 5 years,Less than 1 year,21 - 30,Male
13954255,A,Personal workspace,Open Office: workspace in open office with no partitions,Yes,A,16 feet or more,Yes,,,,,Yes,"half sky, half building",Facing south (or southeast or southwest),1 to 4,4.0,4.0,1.0,1.0,1.0,,Never,Never,Rarely,,Never,Never,,Sometimes,Never,Never,Never,Never,3 = Neutral,Yes,,,,,,,10 - 20 hours,All day,"Reading, seated",1 - 5 years,1 - 5 years,41 - 50,Male
13954975,A,Personal workspace,Open Office: cubicles with low partitions (lower than 5 feet),Yes,A,0 - 5 feet,Yes,,,Yes,,,,Facing south (or southeast or southwest),10 or above,1.0,1.0,1.0,0.0,1.0,,Always,Always,Never,Never,Never,Always,1 = Greatly decreses my productivity,Never,Most of the time,Always,Never,Never,1 = Greatly decreases my productivity,Yes,,,,,,,More than 40 hours,All day,"Reading, seated",1 - 5 years,1 - 5 years,I prefer not to answer,Female
13955259,A,Personal workspace,Open Office: workspace in open office with no partitions,Yes,A,16 feet or more,Yes,Yes,,Yes,,,,Facing south (or southeast or southwest),1 to 4,4.0,3.0,1.0,4.0,1.0,2.0,Never,Never,Sometimes,Sometimes,Rarely,Rarely,3 = Neutral,Sometimes,Rarely,Rarely,Never,Never,4,Yes,,,,,,,More than 40 hours,All day,"Reading, seated",1 - 5 years,1 - 5 years,41 - 50,Male
13955557,A,Personal workspace,Open Office: cubicles with low partitions (lower than 5 feet),Yes,A,16 feet or more,Yes,,,Yes,,,,I don’t know,10 or above,4.0,4.0,3.0,3.0,3.0,4.0,Rarely,Rarely,Rarely,Rarely,Never,Rarely,3 = Neutral,Rarely,Rarely,Rarely,Never,Never,3 = Neutral,,,,,,,Yes,21 - 40 hours,All day,"Reading, seated",1 - 5 years,1 - 5 years,31 - 40,Male
13955679,A,Personal workspace,Open Office: cubicles with low partitions (lower than 5 feet),Yes,A,11 - 15 feet,Yes,Yes,Yes,Yes,,Yes,"Bank of America Stadium, construction of buildings",Facing south (or southeast or southwest),10 or above,4.0,2.0,5.0,2.0,2.0,3.0,Most of the time,Rarely,Sometimes,Sometimes,Never,Sometimes,3 = Neutral,Most of the time,Sometimes,Rarely,Never,Rarely,3 = Neutral,Yes,,,,,,,More than 40 hours,All day,Typing,Less than 1 year,Less than 1 year,31 - 40,Female
13955853,A,Personal workspace,Enclosed Office: private,Yes,A,0 - 5 feet,Yes,,Yes,Yes,,,,Facing south (or southeast or southwest),5 to 9,4.0,5.0,1.0,1.0,5.0,5.0,Never,Never,Rarely,Sometimes,Most of the time,Never,5 = Greatly increases my productivity,Never,Most of the time,Sometimes,Most of the time,Never,3 = Neutral,Yes,,Yes,Yes,,,,More than 40 hours,Mixed (some combination of morning/afternoon/evenings),"Reading, seated",1 - 5 years,1 - 5 years,41 - 50,Male
13955989,A,Personal workspace,Open Office: workspace in open office with no partitions,Yes,A,16 feet or more,,Yes,,Yes,,,,Facing south (or southeast or southwest),1 to 4,4.0,2.0,1.0,5.0,0.0,2.0,Never,Never,Never,Never,Always,Never,3 = Neutral,Rarely,Never,Never,Never,Rarely,3 = Neutral,,,,,,,Yes,More than 40 hours,All day,Typing,1 - 5 years,1 - 5 years,31 - 40,Male
13955996,A,Personal workspace,Open Office: workspace in open office with no partitions,Yes,A,16 feet or more,Yes,Yes,,Yes,,,,Facing north (or northeast or northwest),1 to 4,4.0,4.0,3.0,3.0,0.0,,Rarely,Rarely,Never,Always,Never,Rarely,3 = Neutral,Never,Sometimes,Never,Never,Never,3 = Neutral,,,,,,,Yes,More than 40 hours,All day,Typing,Less than 1 year,Less than 1 year,31 - 40,Male
13955998,A,Personal workspace,Open Office: cubicles with high partitions (5 feet or higher),Yes,A,16 feet or more,Yes,,Yes,Yes,,,,Facing east,5 to 9,4.0,1.0,5.0,1.0,1.0,1.0,Most of the time,Most of the time,Most of the time,Most of the time,Never,Sometimes,1 = Greatly decreses my productivity,Sometimes,Never,Never,Never,Never,4,Yes,,,,,,,More than 40 hours,All day,Typing,1 - 5 years,1 - 5 years,31 - 40,Male
13956165,A,Personal workspace,Open Office: workspace in open office with no partitions,Yes,A,16 feet or more,No,,,Yes,,,,Facing west,5 to 9,4.0,4.0,3.0,3.0,3.0,,Rarely,Never,Rarely,Rarely,Never,Never,4,Never,Never,Never,Never,Never,5 = Greatly inrceases my productivity,,,,,,,Yes,More than 40 hours,All day,Typing,Less than 1 year,Less than 1 year,31 - 40,Male
13956601,A,Personal workspace,Open Office: cubicles with low partitions (lower than 5 feet),Yes,A,16 feet or more,Yes,Yes,,,,,,Facing north (or northeast or northwest),10 or above,3.0,1.0,5.0,1.0,3.0,,Always,Most of the time,Rarely,Never,Never,Most of the time,2,Never,Never,Rarely,Never,Never,4,,,,,,,Yes,21 - 40 hours,All day,"Reading, seated",1 - 5 years,1 - 5 years,51 or above,Female
13956649,A,Personal workspace,Open Office: cubicles with low partitions (lower than 5 feet),No,A,0 - 5 feet,Yes,Yes,Yes,,Yes,,,Facing east,10 or above,5.0,5.0,3.0,2.0,3.0,,Rarely,Rarely,Rarely,Sometimes,Never,Never,4,Never,Never,Never,Never,Never,4,Yes,,,,,,,21 - 40 hours,Mixed (some combination of morning/afternoon/evenings),Typing,5+ years,1 - 5 years,31 - 40,Male
13956866,A,Personal workspace,Open Office: workspace in open office with no partitions,No,A,0 - 5 feet,Yes,,,Yes,,,,Facing west,,4.0,4.0,2.0,2.0,0.0,4.0,Never,Never,Rarely,Rarely,Never,Never,4,Rarely,Rarely,Rarely,Never,Rarely,4,,,,,,,Yes,10 - 20 hours,All day,Typing,1 - 5 years,1 - 5 years,41 - 50,Female
13957018,A,Small conference room,Open Office: cubicles with low partitions (lower than 5 feet),Yes,A,16 feet or more,Yes,Yes,,,,,,Facing south (or southeast or southwest),10 or above,5.0,3.0,5.0,1.0,2.0,3.0,Most of the time,Always,Sometimes,Sometimes,Never,Sometimes,3 = Neutral,Never,Never,Sometimes,Never,Never,4,,,,,,,Yes,More than 40 hours,All day,Typing,1 - 5 years,1 - 5 years,41 - 50,Female
13957179,A,Personal workspace,Open Office: cubicles with low partitions (lower than 5 feet),No,A,16 feet or more,Yes,Yes,,,,,,Facing east,10 or above,5.0,3.0,4.0,3.0,0.0,3.0,Most of the time,Rarely,Sometimes,Most of the time,Never,Sometimes,2,Sometimes,Never,Rarely,Never,Never,3 = Neutral,,,,,,,Yes,21 - 40 hours,All day,Typing,5+ years,1 - 5 years,51 or above,Female
13957582,A,Personal workspace,Open Office: cubicles with low partitions (lower than 5 feet),No,A,0 - 5 feet,Yes,Yes,Yes,Yes,,Yes,airport,I don’t know,10 or above,3.0,1.0,5.0,1.0,1.0,,Always,Sometimes,Most of the time,Always,Sometimes,Sometimes,1 = Greatly decreses my productivity,Always,Most of the time,Rarely,Never,Rarely,2,Yes,,,,,,,21 - 40 hours,All day,Typing,5+ years,1 - 5 years,51 or above,Female
13957711,A,Personal workspace,Open Office: workspace in open office with no partitions,Yes,A,16 feet or more,No,,,Yes,,,,Facing north (or northeast or northwest),5 to 9,3.0,5.0,2.0,4.0,2.0,4.0,Rarely,Sometimes,Sometimes,Rarely,Never,Never,4,Never,Never,Never,Never,Never,4,,,,,,,Yes,More than 40 hours,All day,Typing,1 - 5 years,1 - 5 years,21 - 30,Male
13957754,A,Personal workspace,Open Office: cubicles with low partitions (lower than 5 feet),Yes,A,0 - 5 feet,Yes,Yes,Yes,Yes,,,,Facing south (or southeast or southwest),10 or above,4.0,4.0,5.0,1.0,2.0,3.0,Most of the time,Sometimes,Sometimes,Sometimes,Never,Sometimes,3 = Neutral,Sometimes,Rarely,Rarely,Never,Never,3 = Neutral,Yes,,,,,,,More than 40 hours,All day,Typing,Less than 1 year,Less than 1 year,31 - 40,Female
13957787,A,Personal workspace,Enclosed Office: private,Yes,A,16 feet or more,Yes,Yes,Yes,Yes,Yes,,,Facing north (or northeast or northwest),10 or above,5.0,5.0,1.0,2.0,0.0,,Never,Never,Rarely,Rarely,Never,Never,5 = Greatly increases my productivity,Never,Never,Never,Never,Never,5 = Greatly inrceases my productivity,,Yes,Yes,,,,,21 - 40 hours,All day,"Reading, seated",5+ years,5+ years,41 - 50,Male
13957798,A,Personal workspace,Open Office: cubicles with low partitions (lower than 5 feet),Yes,A,16 feet or more,Yes,Yes,,Yes,,,,Facing south (or southeast or southwest),10 or above,4.0,,1.0,3.0,1.0,4.0,Never,Sometimes,Rarely,Rarely,Most of the time,Sometimes,3 = Neutral,Rarely,Sometimes,Never,Never,Never,4,,,,,,,Yes,10 - 20 hours,Mixed (some combination of morning/afternoon/evenings),"Reading, seated",5+ years,1 - 5 years,51 or above,Male
13953648,A,Outside,Open Office: cubicles with low partitions (lower than 5 feet),Yes,A,6 - 10 feet,Yes,Yes,Yes,Yes,Yes,,,Facing west,10 or above,5.0,4.0,1.0,,0.0,3.0,Sometimes,Always,Rarely,Rarely,Never,Sometimes,3 = Neutral,Never,Most of the time,Never,Rarely,Sometimes,4,,,,,,,Yes,21 - 40 hours,All day,Typing,Less than 1 year,Less than 1 year,31 - 40,Male
13954037,A,Personal workspace,Open Office: workspace in open office with no partitions,Yes,A,16 feet or more,Yes,,,Yes,,,,Facing north (or northeast or northwest),1 to 4,5.0,4.0,3.0,3.0,1.0,,Sometimes,Never,Rarely,Sometimes,Never,Rarely,3 = Neutral,Rarely,Never,Never,Never,Sometimes,3 = Neutral,,,,,,,Yes,More than 40 hours,All day,Typing,1 - 5 years,1 - 5 years,31 - 40,Male
13954242,A,Personal workspace,Enclosed Office: private,Yes,A,16 feet or more,No,,,Yes,,,,Facing west,5 to 9,4.0,2.0,5.0,1.0,1.0,2.0,Always,Most of the time,Always,Always,Never,Always,2,Never,Never,Sometimes,Never,Rarely,3 = Neutral,,Yes,Yes,,,,,More than 40 hours,All day,"Reading, seated",1 - 5 years,1 - 5 years,41 - 50,Female
13954253,A,Personal workspace,Enclosed Office: private,Yes,A,0 - 5 feet,Yes,,,Yes,,,,Facing south (or southeast or southwest),1 to 4,4.0,4.0,3.0,3.0,2.0,4.0,Rarely,Rarely,Sometimes,Rarely,Sometimes,Never,4,Rarely,Rarely,Never,Sometimes,Rarely,4,Yes,Yes,Yes,,,,,More than 40 hours,All day,"Reading, seated",1 - 5 years,1 - 5 years,31 - 40,Male
13954276,A,Personal workspace,Open Office: workspace in open office with no partitions,Yes,A,11 - 15 feet,Yes,Yes,,Yes,,,,I don’t know,5 to 9,5.0,3.0,2.0,0.0,0.0,4.0,Never,Sometimes,Sometimes,Sometimes,Sometimes,Never,3 = Neutral,Never,Never,Never,Never,Never,3 = Neutral,,,,,,,Yes,More than 40 hours,All day,Typing,1 - 5 years,Less than 1 year,41 - 50,Female
13954289,A,Personal workspace,Open Office: workspace in open office with no partitions,Yes,A,16 feet or more,No,,,Yes,,,,Facing west,1 to 4,4.0,3.0,4.0,2.0,2.0,,Sometimes,Sometimes,Rarely,Rarely,Never,Never,3 = Neutral,Never,Never,Never,Never,Never,5 = Greatly inrceases my productivity,,,,,,,Yes,21 - 40 hours,All day,Writing,Less than 1 year,Less than 1 year,21 - 30,Male
13954463,A,Personal workspace,Enclosed Office: private,Yes,A,16 feet or more,No,,Yes,,,,,Facing south (or southeast or southwest),5 to 9,4.0,4.0,2.0,2.0,2.0,,Never,Never,Rarely,Sometimes,Never,Never,4,Rarely,Never,Rarely,Rarely,Never,4,,Yes,Yes,,,,,More than 40 hours,Mixed (some combination of morning/afternoon/evenings),"Reading, seated",1 - 5 years,1 - 5 years,31 - 40,Male
13954475,A,Personal workspace,Open Office: cubicles with low partitions (lower than 5 feet),Yes,A,6 - 10 feet,Yes,,,Yes,,,,Facing north (or northeast or northwest),10 or above,4.0,4.0,3.0,1.0,1.0,4.0,Most of the time,Sometimes,Sometimes,Most of the time,Never,Sometimes,2,Rarely,Sometimes,Rarely,Never,Never,3 = Neutral,,,,,,,Yes,More than 40 hours,All day,Typing,1 - 5 years,Less than 1 year,31 - 40,Female
13954762,A,Personal workspace,Open Office: workspace in open office with no partitions,No,A,16 feet or more,Yes,Yes,Yes,Yes,Yes,,,I don’t know,5 to 9,5.0,1.0,5.0,5.0,1.0,,Always,Always,Always,Always,Never,Most of the time,2,Rarely,Rarely,Rarely,Never,Never,5 = Greatly inrceases my productivity,,,,,,,Yes,More than 40 hours,All day,"Filing, standing",1 - 5 years,1 - 5 years,31 - 40,Female
13954791,A,Personal workspace,Open Office: workspace in open office with no partitions,Yes,A,16 feet or more,Yes,Yes,Yes,Yes,Yes,,,Facing south (or southeast or southwest),5 to 9,4.0,4.0,3.0,3.0,4.0,,Rarely,Never,Most of the time,Sometimes,Never,Rarely,3 = Neutral,Rarely,Sometimes,Sometimes,Never,Never,3 = Neutral,,,,,,,Yes,More than 40 hours,All day,"Reading, seated",Less than 1 year,Less than 1 year,21 - 30,Male
13954795,A,Personal workspace,Open Office: cubicles with low partitions (lower than 5 feet),Yes,A,16 feet or more,Yes,Yes,Yes,Yes,Yes,,,Facing east,10 or above,5.0,5.0,1.0,1.0,1.0,5.0,Never,Never,Rarely,Sometimes,Never,Never,5 = Greatly increases my productivity,Never,Never,Never,Never,Never,5 = Greatly inrceases my productivity,,,,,,,Yes,21 - 40 hours,All day,Typing,5+ years,1 - 5 years,51 or above,Male
13954930,A,Personal workspace,Open Office: workspace in open office with no partitions,Yes,A,16 feet or more,No,,,Yes,,,,Facing north (or northeast or northwest),1 to 4,2.0,5.0,,3.0,1.0,,Always,Always,Sometimes,Rarely,Never,Most of the time,2,Most of the time,Most of the time,Never,Never,Sometimes,3 = Neutral,,,,,,,Yes,21 - 40 hours,All day,Typing,Less than 1 year,Less than 1 year,31 - 40,Female
13955201,A,Personal workspace,Open Office: cubicles with low partitions (lower than 5 feet),Yes,A,11 - 15 feet,Yes,Yes,Yes,Yes,Yes,Yes,Panthers' Stadium,Facing north (or northeast or northwest),10 or above,4.0,4.0,2.0,1.0,1.0,4.0,Rarely,Sometimes,Sometimes,Sometimes,Never,Rarely,4,Rarely,Never,Rarely,Never,Never,3 = Neutral,,,,,,,Yes,More than 40 hours,All day,Typing,Less than 1 year,Less than 1 year,21 - 30,Male
13955342,A,Personal workspace,Enclosed Office: private,Yes,A,16 feet or more,No,,,Yes,,,,Facing south (or southeast or southwest),5 to 9,5.0,5.0,1.0,4.0,5.0,5.0,Never,Never,Never,Never,Never,Never,5 = Greatly increases my productivity,Never,Never,Never,Always,Never,4,,Yes,Yes,Yes,,,,Less than 10 hours,All day,Typing,1 - 5 years,1 - 5 years,51 or above,Male
13955498,A,Personal workspace,Open Office: cubicles with high partitions (5 feet or higher),Yes,A,6 - 10 feet,Yes,Yes,,Yes,,,,I don’t know,5 to 9,4.0,4.0,2.0,3.0,0.0,4.0,Never,Never,Rarely,Rarely,Never,Rarely,3 = Neutral,Never,Never,Never,Sometimes,Rarely,3 = Neutral,,,Yes,,,,,10 - 20 hours,All day,Walking about,Less than 1 year,Less than 1 year,31 - 40,Male
13955632,A,Personal workspace,Enclosed Office: private,No,A,16 feet or more,Yes,Yes,,,,,,Facing west,10 or above,4.0,4.0,2.0,2.0,3.0,4.0,Never,Never,Rarely,Sometimes,Never,Rarely,4,Rarely,Never,Rarely,Never,Sometimes,4,,Yes,,Yes,,,,10 - 20 hours,All day,"Reading, seated",1 - 5 years,1 - 5 years,51 or above,Male
13955646,A,Other,Open Office: workspace in open office with no partitions,Yes,A,16 feet or more,Yes,Yes,Yes,Yes,,,,Facing south (or southeast or southwest),5 to 9,2.0,1.0,5.0,3.0,1.0,1.0,Always,Most of the time,Rarely,Rarely,Never,Most of the time,2,Rarely,Rarely,Rarely,Never,Rarely,3 = Neutral,,,,,,,Yes,More than 40 hours,All day,Writing,1 - 5 years,1 - 5 years,41 - 50,Male
13955697,A,Outside,Open Office: cubicles with low partitions (lower than 5 feet),Yes,A,11 - 15 feet,Yes,Yes,Yes,Yes,Yes,,,Facing south (or southeast or southwest),10 or above,4.0,2.0,5.0,1.0,1.0,2.0,Always,Most of the time,Most of the time,Sometimes,Never,Sometimes,2,Rarely,Never,Rarely,Never,Rarely,3 = Neutral,,,,,,,Yes,21 - 40 hours,All day,"Reading, seated",1 - 5 years,Less than 1 year,31 - 40,Female
13955938,A,Personal workspace,Enclosed Office: private,Yes,A,0 - 5 feet,Yes,,Yes,,,,,Facing south (or southeast or southwest),5 to 9,3.0,3.0,3.0,4.0,3.0,,Rarely,Sometimes,Sometimes,Sometimes,Never,Rarely,3 = Neutral,Rarely,Never,Always,Most of the time,Never,2,,Yes,,Yes,,,,More than 40 hours,All day,"Reading, seated",1 - 5 years,Less than 1 year,51 or above,Male
13955965,A,Personal workspace,Open Office: workspace in open office with no partitions,Yes,A,16 feet or more,No,Yes,,Yes,,,,Facing west,1 to 4,4.0,3.0,5.0,2.0,1.0,3.0,Most of the time,Rarely,Most of the time,Always,Never,Rarely,2,Rarely,Rarely,Rarely,Never,Never,3 = Neutral,,,,,,,Yes,More than 40 hours,All day,"Reading, seated",1 - 5 years,Less than 1 year,31 - 40,Male
13955975,A,Personal workspace,Open Office: workspace in open office with no partitions,No,A,16 feet or more,No,,,Yes,,,,Facing west,5 to 9,4.0,4.0,3.0,3.0,2.0,3.0,Rarely,Rarely,Sometimes,Most of the time,Never,Rarely,4,Always,Rarely,Rarely,Never,Rarely,3 = Neutral,,,,,,,Yes,21 - 40 hours,All day,"Reading, seated",1 - 5 years,Less than 1 year,31 - 40,Male
13955993,A,Personal workspace,Open Office: workspace in open office with no partitions,Yes,A,16 feet or more,Yes,,,Yes,,,,I don’t know,5 to 9,4.0,1.0,5.0,1.0,1.0,1.0,Always,Sometimes,Sometimes,Sometimes,Never,Most of the time,2,Never,Never,Never,Never,Never,3 = Neutral,,,,,,,Yes,More than 40 hours,All day,"Reading, seated",5+ years,5+ years,41 - 50,Male
